trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit,
1549339,ETH-BTC,BUY,2017-09-25T14:40:18.148Z,0.57,ETH,0.07511,0,-0.0428127,BTC,0.708484639
1551698,ETH-BTC,SELL,2017-09-26T10:27:06.013Z,0.57,ETH,0.07451,0,0.0424707,BTC,0.750955339
1556362,ETH-BTC,BUY,2017-09-27T20:00:48.510Z,0.57,ETH,0.07355,0,-0.0419235,BTC,0.709031839
1556380,ETH-BTC,BUY,2017-09-27T20:02:29.346Z,0.57,ETH,0.07348,0,-0.0418836,BTC,0.667148239
1557145,ETH-BTC,SELL,2017-09-27T23:45:31.088Z,0.11245534,ETH,0.07396,0,0.008317197,BTC,0.675465436
1558607,ETH-BTC,SELL,2017-09-28T08:16:09.341Z,1.03,ETH,0.07236,0,0.0745308,BTC,0.749996236
1561928,ETH-BTC,BUY,2017-09-29T04:35:58.734Z,0.57,ETH,0.07026,0,-0.0400482,BTC,0.709948036
1561985,ETH-BTC,BUY,2017-09-29T04:47:37.357Z,0.4019067,ETH,0.07007,0,-0.028161602,BTC,0.681786434
1562752,ETH-BTC,BUY,2017-09-29T09:53:54.382Z,0.57,ETH,0.07019,0,-0.0400083,BTC,0.641778134
1563356,ETH-BTC,SELL,2017-09-29T13:51:58.705Z,1.54,ETH,0.07007,0,0.1079078,BTC,0.749685934
